year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,200,887,81.60
2005,1038,186,852,82.08
2006,1069,182,887,82.97
2007,1058,150,908,85.82
2008,1061,145,916,86.33
2009,1094,152,942,86.11
2010,1050,135,915,87.14
2011,1057,119,938,88.74
2012,1059,112,947,89.42
2013,1042,95,947,90.88
2014,1014,91,923,91.03
2015,1011,87,924,91.39
2016,1076,72,1004,93.31
2017,1043,59,984,94.34
2018,1090,54,1036,95.05
2019,1038,53,985,94.89
2020,967,36,931,96.28
